poem_id,master_poem_id
skvr07113430,skvr07105700
skvr07102720,skvr07105710
skvr07103380,skvr07105710
skvr07105770,skvr07110570
skvr07206520,skvr07105800
skvr07106710,skvr07106110
skvr07103560,skvr07106260
skvr07106850,skvr07106300
skvr07103660,skvr07106310
skvr07103250,skvr07106340
skvr07103690,skvr07106350
skvr07121950,skvr07106410
skvr07103350,skvr07106460
skvr07109280,skvr07106540
skvr07109281,skvr07106541
skvr07218030,skvr07106660
skvr07103510,skvr07106740
skvr07103040,skvr07106750
skvr07103520,skvr07106750
skvr07103050,skvr07106760
skvr07103530,skvr07106760
skvr07103151,skvr07106800
skvr07103170,skvr07106820
skvr07103600,skvr07106820
skvr07120440,skvr07106860
skvr07120430,skvr07106861
skvr07105840,skvr07106940
skvr07101030,skvr07107400
skvr07110940,skvr07107400
skvr07102860,skvr07107440
skvr07105240,skvr07107500
skvr07108520,skvr07107500
skvr07105250,skvr07107530
skvr07248520,skvr07107610
skvr07101320,skvr07107910
skvr07101330,skvr07107991
skvr07101590,skvr07108050
skvr07110020,skvr07108070
skvr07126830,skvr07108070
skvr07101340,skvr07108120
skvr07126840,skvr07108140
skvr07116610,skvr07108370
skvr07138710,skvr07108380
skvr07101350,skvr07108380
skvr07106810,skvr07108380
skvr07106870,skvr07108410
skvr07108800,skvr07108650
skvr07234360,skvr07108650
skvr07142730,skvr07108710
skvr07107020,skvr07108900
skvr07225360,skvr07109110
skvr07107580,skvr07109290
skvr07127510,skvr07109370
skvr07144530,skvr07109500
skvr07130940,skvr07110090
skvr07126832,skvr07110140
skvr07126851,skvr07110150
skvr07126870,skvr07110200
skvr07126891,skvr07110210
skvr07126890,skvr07110220
skvr07126880,skvr07110240
skvr07129110,skvr07110270
skvr07129130,skvr07110280
skvr07126500,skvr07110380
skvr07105560,skvr07110530
skvr07142510,skvr07110540
skvr07105590,skvr07110550
skvr07105730,skvr07110560
skvr07105960,skvr07111130
skvr07102340,skvr07112360
skvr07132890,skvr07112810
skvr07113030,skvr07112850
skvr07112800,skvr07112970
skvr07142640,skvr07112970
skvr07132500,skvr07112980
skvr07126910,skvr07113201
skvr06103960,skvr07113260
skvr07139450,skvr07113950
skvr07110640,skvr07114090
skvr07251490,skvr07114420
skvr07115380,skvr07115510
skvr07243770,skvr07115590
skvr07106160,skvr07115660
skvr06105370,skvr07115920
skvr07116120,skvr07115930
skvr07146190,skvr07116320
skvr07221150,skvr07116620
skvr07119250,skvr07118960
skvr07102660,skvr07121480
skvr07121590,skvr07121480
skvr07121400,skvr07122810
skvr07125020,skvr07123870
skvr07139910,skvr07125950
skvr07100030,skvr07126000
skvr07116501,skvr07127360
skvr07128490,skvr07127360
skvr07130800,skvr07127380
skvr07131130,skvr07127700
skvr07128351,skvr07128090
skvr07103980,skvr07128110
skvr07128360,skvr07128630
skvr07128390,skvr07128770
skvr07128710,skvr07128890
skvr07129361,skvr07128890
skvr07129370,skvr07128930
skvr07130080,skvr07128950
skvr07129500,skvr07129070
skvr07129190,skvr07129090
skvr07130580,skvr07129160
skvr07120900,skvr07129250
skvr07128981,skvr07129331
skvr07124490,skvr07129450
skvr07109970,skvr07129631
skvr07131590,skvr07129660
skvr07131600,skvr07129720
skvr07131610,skvr07129730
skvr07130130,skvr07129930
skvr07130140,skvr07130090
skvr07131480,skvr07130300
skvr07131660,skvr07130300
skvr07131300,skvr07130540
skvr07129610,skvr07131510
skvr07131290,skvr07131510
skvr07110510,skvr07139500
skvr06120620,skvr07140170
skvr07144680,skvr07144650
skvr07102050,skvr07200460
skvr06131500,skvr07201060
skvr06135020,skvr07201470
